bne	123.48582	0.75069	Papua	
haw	-155.42995	19.62965	Papua	
NOCODE_Miisiirii			Africa	
ola	87.23742	27.69502	Eurasia	
old	37.33568	-3.33743	Africa	
ole	90.55462	27.20788	Eurasia	
olm	6.02767	7.01279	Africa	
olo	29.072645	61.656535	Eurasia	
umu	-81.91658	42.59677	North America	
ump	143.46729	-13.15275	Australia	
for	145.5065	-6.64473	Papua	
fos	120.31451	22.97767	Papua	2013
fod	1.40486	9.56489	Africa	
umd	143.32815	-13.921	Australia	2013
umg	143.6305	-14.25876	Australia	2013
uma	-118.55167	45.63915	North America	
umb	14.41483	-12.47635	Africa	
umm	8.10335	5.37438	Africa	
fom	24.32023	0.88032	Africa	
fon	1.664945	7.154835	Africa	
umn			Eurasia	
umi	114.57932	1.56623	Papua	
foi	143.49539	-6.47258	Papua	
NOCODE_Woiwurrung	145.5879962	-37.64264501	Australia	2013
mbl	-40.78912	-16.94017	South America	
mbm	13.61701	-2.75341	Africa	
mbn	-71.2671	6.34582	South America	
mbo	9.92766	5.13981	Africa	
mbh	150.67987	-5.89752	Papua	
mbi	124.76579	7.34448	Papua	
mbj	-66.30681	-1.24449	South America	
mbk	142.24388	-3.11695	Papua	
mbd	126.01817	7.85664	Papua	
mbe	-122.857	44.556	North America	
mbf	103.07599	1.754135	Eurasia	
soj	54.59641	31.85423	Eurasia	
som	45.152856	4.778704	Africa	
mba	125.07083	8.61202	Papua	
mbb	124.82468	7.6682	Papua	
mbc	-60.2208766667	4.31861333333	South America	
soq	149.75093	-10.16585	Papua	
sop	25.27647	-5.71993	Africa	
sos	-4.58203	11.12852	Africa	
sor	16.67839	9.65897	Africa	
mbx	142.96345	-4.46436	Papua	
mby	67.007	24.853	Eurasia	
mbz	-97.45179	16.65209	North America	
sov	134.56514	7.47282	Papua	
mbt	125.15971	7.72124	Papua	
mbu	12.24389	9.60769	Africa	
mbv	-14.73717	10.85525	Africa	
mbw	144.64232	-5.44015	Papua	
mbp	-73.40561	10.92861	South America	
mbq	148.73057	-9.22853	Papua	
mbr	-71.46289	2.65939	South America	
mbs	125.49902	5.84903	Papua	
NOCODE_Kuungkari	143.5365228	-24.75108713	Australia	2013
azj	46.4736975	40.977675	Eurasia	
azm	-98.01287	16.50531	North America	
azn			North America	
azo	10.26405	5.88362	Africa	
aza	104.15	23.9	Eurasia	
azb	48.43018	36.513664	Eurasia	
azd			North America	
azg	-98.04643	16.51976	North America	
azz	-97.55562	20.15536	North America	
azt	121.43626	17.98083	Papua	
khx	28.10169	-1.82559	Africa	
khy	24.30977	0.36906	Africa	
khz	147.94966	-10.13422	Papua	
khp	139.76623	-3.52696	Papua	
khq	-3.73962	16.19202	Africa	
khr	84.39219	22.35712	Eurasia	
khs	142.99338	-6.64861	Papua	
kht	97.035915	27.6653	Eurasia	
khu	13.97037	-15.41256	Africa	
khv	45.99765	42.27434	Eurasia	
